passenger_count,trip_distance,PULocationID,DOLocationID,trip_duration,fare_amount
1,26.65,77,265,53.416666666666664,76.0
1,0.51,166,151,2.8666666666666667,8.0
3,2.44,74,238,13.583333333333334,11.5
1,0.87,166,41,5.7,6.0
6,8.05,74,137,43.7,32.5
2,34.38,23,213,52.333333333333336,91.0
1,2.17,42,247,12.616666666666667,12.0
1,1.85,166,75,9.333333333333334,8.5
2,1.18,42,244,6.766666666666667,6.5
1,2.51,74,236,10.783333333333333,10.0
2,0.96,65,97,8.833333333333334,7.5
1,3.35,75,164,15.05,13.0
1,1.64,41,43,9.5,8.5
1,3.08,75,170,23.166666666666668,16.0
5,1.19,75,74,7.433333333333334,7.0
1,1.65,74,236,8.2,7.5
3,2.47,41,238,15.666666666666666,12.5
1,0.18,52,52,1.2,3.0
5,1.15,41,42,5.85,6.5
1,1.53,75,74,6.033333333333333,7.0
1,2.77,75,263,22.8,15.5
1,3.79,42,168,14.866666666666667,15.0
1,1.33,74,75,6.483333333333333,6.5
1,7.9,74,242,28.866666666666667,27.0
1,19.62,29,193,78.43333333333334,63.5
1,1.59,52,195,7.05,7.0
1,7.12,166,249,23.216666666666665,23.5
1,6.46,213,241,26.316666666666666,23.0
1,1.31,43,151,6.6,7.0
2,1.78,74,75,10.333333333333334,9.0
1,1.09,33,40,6.666666666666667,6.0
1,1.59,74,263,8.466666666666667,7.5
1,1.15,33,40,7.35,6.5
1,3.13,75,42,23.183333333333334,16.5
1,0.91,173,129,5.033333333333333,5.5
1,3.54,112,7,16.866666666666667,15.0
1,2.61,74,238,11.216666666666667,10.5
1,1.56,65,97,13.916666666666666,10.0
1,19.98,65,20,50.666666666666664,59.0
1,2.5,65,225,13.2,10.5
1,3.14,82,82,25.016666666666666,17.0
1,1.9,41,75,10.833333333333334,9.5
1,0.7,42,41,4.5,5.0
1,2.8,264,75,17.583333333333332,13.5
1,0.91,152,41,6.216666666666667,6.0
1,4.39,41,74,14.6,15.0
1,8.9,92,76,36.35,40.0
1,1.62,74,41,9.25,8.0
1,0.21,49,49,21.6,12.0
1,2.4,75,194,10.05,10.0
2,1.0,41,41,6.333333333333333,6.0
1,3.94,146,129,13.95,15.0
1,1.52,75,237,7.0,7.0
1,11.4,93,237,21.916666666666668,31.5
1,3.01,166,236,17.283333333333335,13.5
1,3.0,42,238,12.266666666666667,11.0
6,1.4,75,74,3.6333333333333333,6.0
1,20.2,213,76,73.85,67.5
1,2.62,166,236,14.5,12.0
1,0.04,61,17,1.0666666666666667,3.0
1,2.79,41,236,16.5,12.5
1,0.25,193,264,0.03333333333333333,10.3
1,3.71,181,61,20.45,15.5
2,0.8,75,236,4.066666666666666,5.0
1,8.35,197,35,52.416666666666664,39.5
6,2.09,95,135,11.2,9.5
1,0.34,243,243,1.7666666666666666,3.5
1,9.23,244,125,24.083333333333332,28.5
1,2.17,166,244,14.5,11.5
1,0.66,75,74,2.4166666666666665,4.0
2,0.94,95,95,10.966666666666667,8.0
2,4.92,55,89,30.866666666666667,23.0
1,7.35,130,138,19.15,23.5
1,1.77,75,237,11.15,9.5
1,0.93,42,41,6.5,6.0
1,2.71,74,262,11.3,11.0
2,9.0,75,138,16.666666666666668,25.5
1,0.11,247,119,0.95,3.0
1,1.96,129,226,10.25,9.5
1,1.52,243,244,7.85,7.5
1,0.96,74,75,7.133333333333334,6.5
1,0.79,75,74,4.883333333333334,5.0
1,3.52,80,114,12.683333333333334,13.5
1,0.59,41,42,2.216666666666667,4.0
1,2.8,75,152,21.133333333333333,15.0
1,2.99,42,75,11.216666666666667,11.5
1,3.04,74,141,11.533333333333333,11.0
1,3.07,42,238,12.666666666666666,12.0
1,1.43,168,42,8.683333333333334,7.5
1,1.26,7,179,7.5,7.0
1,0.8,75,75,4.483333333333333,5.0
1,0.8,75,236,3.6,5.0
